date,triplet_id,method,target_symbol,hedge_symbol_1,hedge_symbol_2,residual,z_score
2023-01-02,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.0,
2023-01-03,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.07445488086215911,
2023-01-04,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.053273438197070755,
2023-01-05,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.3241338341209575,
2023-01-06,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.7020544533910787,
2023-01-09,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.6137074949678265,
2023-01-10,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.71838735746424,
2023-01-11,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.8240551857541242,
2023-01-12,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.7740018550220853,
2023-01-13,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.6925277586084789,
2023-01-16,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-1.1103166470461443,
2023-01-17,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.7735463994737931,
2023-01-18,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-1.1266268648371436,
2023-01-19,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.5823143371747301,
2023-01-20,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.38251163216179274,
2023-01-23,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.44041603029170673,
2023-01-24,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.09210686843293164,
2023-01-25,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.07648102259914238,
2023-01-26,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.08469931298987722,
2023-01-27,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.09812535290947708,
2023-01-30,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.32758721418900033,1.963357050403561
2023-01-31,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.5217896884490028,2.215948796701849
2023-02-01,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.25956141472864797,1.3783883286429328
2023-02-02,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.09366585370361472,0.9389967151168573
2023-02-03,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.1579359027239159,1.0411628851407584
2023-02-06,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.09278136103730847,0.8586438448067311
2023-02-07,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.4210335299291478,-0.2802831464984802
2023-02-08,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,0.07523635134514073,0.8175854428465331
2023-02-09,NVDA_SMH_QQQ,kalman_random_walk,NVDA,SMH,QQQ,-0.41228703306741343,-0.2866712187845349
