feature,coefficient
intercept,0.6552503970151176
entry_z_score,0.0806976613469124
entry_abs_z,-0.0806976613469122
z_score,-0.06946925056054555
residual,-0.05073722859568531
residual_change,-0.24789238515321996
residual_volatility,0.28115847110561637
residual_autocorrelation,0.10295165164920557
half_life_estimate,-0.05127581923175436
rolling_r_squared,0.06391265138806479
beta_1,0.29044754035973497
beta_2,0.5641167909953958
beta_1_stability,-0.5276416571174676
beta_2_stability,0.6339741535712817
beta_stability,-0.339071989818118
target_return_volatility,-0.17389824445388435
anchor_1_return_volatility,0.03189213534077786
anchor_2_return_volatility,0.1757931563307348
market_return,0.19593304528196906
sector_return,0.22354833329820717
target_anchor_1_correlation,0.15029725885998735
target_anchor_2_correlation,0.3118361540077763
anchor_correlation,-0.2688267658440025
correlation_stability,-0.17061797464620304
recent_drawdown,0.3718168708563675
distance_from_moving_average,0.3916174707106203
volume_shock,0.03850767324606087
