event_id,triplet_id,method,event_date,exit_date,side,label,outcome,exit_reason,holding_period,entry_z_score,exit_z_score
evt_0000,JPM_XLF_KRE,kalman,2022-01-03,2022-01-17,short_spread,0,failure,stop_loss,14,2.178819807669874,3.5700644280248914
evt_0001,XOM_XLE_USO,kalman,2022-01-04,2022-01-07,long_spread,1,success,reversion,3,-2.7196049547899674,-0.0038253937178520936
evt_0002,AAPL_QQQ_XLK,kalman,2022-01-05,2022-01-12,short_spread,0,failure,max_holding,7,1.9773996576612058,1.8845795498839335
evt_0003,JPM_XLF_KRE,kalman,2022-01-06,2022-01-16,long_spread,0,failure,max_holding,10,-1.6406323605967978,-0.9668026381595292
evt_0004,XOM_XLE_USO,kalman,2022-01-07,2022-01-15,short_spread,1,success,reversion,8,3.1486112427978616,0.39247453383327213
evt_0005,NVDA_SMH_QQQ,kalman,2022-01-10,2022-01-21,long_spread,0,failure,max_holding,11,-2.4586754671255187,-1.2794081898780156
evt_0006,XOM_XLE_USO,kalman,2022-01-11,2022-01-24,short_spread,0,failure,max_holding,13,2.595345635657119,1.8048599909292984
evt_0007,JPM_XLF_KRE,kalman,2022-01-12,2022-01-16,long_spread,1,success,reversion,4,-2.4806814879544357,-0.12867974394433546
evt_0008,NVDA_SMH_QQQ,kalman,2022-01-13,2022-01-18,short_spread,0,failure,stop_loss,5,2.3081136485408913,3.4134176838005894
evt_0009,NVDA_SMH_QQQ,kalman,2022-01-14,2022-01-24,long_spread,0,failure,max_holding,10,-1.7080833827413568,-1.4344620554221885
evt_0010,NVDA_SMH_QQQ,kalman,2022-01-17,2022-01-29,short_spread,0,failure,stop_loss,12,2.0331134060794707,3.1171896138685375
evt_0011,JPM_XLF_KRE,kalman,2022-01-18,2022-01-29,long_spread,0,failure,stop_loss,11,-2.7515545905644867,-3.048954297827929
evt_0012,XOM_XLE_USO,kalman,2022-01-19,2022-02-01,short_spread,0,failure,max_holding,13,3.042561356182164,0.822566945331321
evt_0013,XOM_XLE_USO,kalman,2022-01-20,2022-01-25,long_spread,1,success,reversion,5,-3.010623306799859,-0.02603566450652023
evt_0014,AAPL_QQQ_XLK,kalman,2022-01-21,2022-01-28,short_spread,0,failure,stop_loss,7,3.1121454991789017,3.2227819675298677
evt_0015,NVDA_SMH_QQQ,kalman,2022-01-24,2022-02-02,long_spread,0,failure,stop_loss,9,-1.5431866663317944,-3.387659048962475
evt_0016,NVDA_SMH_QQQ,kalman,2022-01-25,2022-02-01,short_spread,1,success,reversion,7,2.7546655948385057,-0.06769771898783741
evt_0017,NVDA_SMH_QQQ,kalman,2022-01-26,2022-02-08,long_spread,1,success,reversion,13,-2.6434201301664295,-0.5334584205253913
evt_0018,XOM_XLE_USO,kalman,2022-01-27,2022-02-08,short_spread,0,failure,stop_loss,12,2.562818988831337,3.571150533630615
evt_0019,JPM_XLF_KRE,kalman,2022-01-28,2022-02-04,long_spread,1,success,reversion,7,-2.5839611194522116,-0.1442898884100245
evt_0020,JPM_XLF_KRE,kalman,2022-01-31,2022-02-05,short_spread,0,failure,max_holding,5,1.7146605156041745,1.74648173166105
evt_0021,XOM_XLE_USO,kalman,2022-02-01,2022-02-07,long_spread,0,failure,max_holding,6,-2.564482388727953,-1.381475271757926
evt_0022,AAPL_QQQ_XLK,kalman,2022-02-02,2022-02-10,short_spread,0,failure,max_holding,8,2.8380560781663644,2.06597601134917
evt_0023,NVDA_SMH_QQQ,kalman,2022-02-03,2022-02-08,long_spread,0,failure,max_holding,5,-1.5125817668517516,-1.8000816396307464
evt_0024,XOM_XLE_USO,kalman,2022-02-04,2022-02-17,short_spread,1,success,reversion,13,3.0657745062644377,0.37830465913194977
evt_0025,XOM_XLE_USO,kalman,2022-02-07,2022-02-10,long_spread,1,success,reversion,3,-1.7220730016022046,-0.2182409294092945
evt_0026,AAPL_QQQ_XLK,kalman,2022-02-08,2022-02-22,short_spread,1,success,reversion,14,2.1387003236288527,0.11004358978260476
evt_0027,AAPL_QQQ_XLK,kalman,2022-02-09,2022-02-19,long_spread,0,failure,stop_loss,10,-2.436187529704341,-3.1766927850167774
evt_0028,JPM_XLF_KRE,kalman,2022-02-10,2022-02-20,short_spread,1,success,reversion,10,2.5340342544970964,0.36171403491629983
